category,price,old_price,sellable_online,other_colors,depth,height,width,discounted,width_d,height_d,depth_d,discount_amount,size
Bar furniture,265.0,265.0,True,No,46.925925925925924,99.0,51.0,0,1,1,0,0.0,5049.0
Bar furniture,995.0,995.0,False,No,46.925925925925924,105.0,80.0,0,1,1,0,0.0,8400.0
Bar furniture,2095.0,2095.0,False,No,46.925925925925924,97.57142857142857,52.945945945945944,0,0,0,0,0.0,1.0
Bar furniture,69.0,69.0,True,Yes,50.0,100.0,60.0,0,1,1,1,0.0,300000.0
Bar furniture,225.0,225.0,True,No,60.0,43.0,74.0,0,1,1,1,0.0,190920.0
Bar furniture,345.0,345.0,True,No,45.0,91.0,40.0,0,1,1,1,0.0,163800.0
Bar furniture,129.0,129.0,True,No,44.0,95.0,50.0,0,1,1,1,0.0,209000.0
Bar furniture,195.0,195.0,True,No,50.0,97.57142857142857,50.0,0,1,0,1,0.0,2500.0
Bar furniture,129.0,129.0,True,No,44.0,95.0,50.0,0,1,1,1,0.0,209000.0
Bar furniture,2176.0,2375.0,True,No,46.925925925925924,97.57142857142857,52.945945945945944,1,0,0,0,199.0,1.0
Bar furniture,149.0,149.0,True,No,44.0,103.0,52.0,0,1,1,1,0.0,235664.0
Bar furniture,395.0,395.0,True,No,45.0,102.0,40.0,0,1,1,1,0.0,183600.0
Bar furniture,395.0,395.0,True,No,47.0,103.0,46.0,0,1,1,1,0.0,222686.0
Bar furniture,177.0,295.0,True,No,53.0,104.0,43.0,1,1,1,1,118.0,237016.0
Bar furniture,345.0,345.0,True,No,52.0,114.0,43.0,0,1,1,1,0.0,254904.0
Bar furniture,695.0,695.0,True,No,46.925925925925924,105.0,70.0,0,1,1,0,0.0,7350.0
Bar furniture,395.0,395.0,True,No,51.0,102.0,40.0,0,1,1,1,0.0,208080.0
Bar furniture,140.0,175.0,True,Yes,36.0,97.57142857142857,36.0,1,1,0,1,35.0,1296.0
Bar furniture,595.0,595.0,True,No,36.0,84.0,38.0,0,1,1,1,0.0,114912.0
Bar furniture,149.0,149.0,True,No,44.0,103.0,52.0,0,1,1,1,0.0,235664.0
Bar furniture,995.0,995.0,True,No,46.925925925925924,105.0,80.0,0,1,1,0,0.0,8400.0
Bar furniture,175.0,175.0,True,No,44.0,63.0,44.0,0,1,1,1,0.0,121968.0
Bar furniture,595.0,595.0,True,No,36.0,84.0,38.0,0,1,1,1,0.0,114912.0
Bar furniture,796.0,995.0,True,No,46.925925925925924,105.0,80.0,1,1,1,0,199.0,8400.0
Bar furniture,345.0,345.0,True,No,51.0,114.0,43.0,0,1,1,1,0.0,250002.0
Bar furniture,345.0,345.0,True,No,52.0,114.0,43.0,0,1,1,1,0.0,254904.0
Bar furniture,796.0,995.0,True,No,46.925925925925924,105.0,80.0,1,1,1,0,199.0,8400.0
Bar furniture,695.0,695.0,True,No,51.0,102.0,40.0,0,1,1,1,0.0,208080.0
Bar furniture,1340.0,1340.0,True,No,46.925925925925924,97.57142857142857,52.945945945945944,0,0,0,0,0.0,1.0
Bar furniture,550.0,550.0,True,No,46.925925925925924,104.0,70.0,0,1,1,0,0.0,7280.0
Bar furniture,595.0,595.0,True,Yes,46.925925925925924,102.0,74.0,0,1,1,0,0.0,7548.0
Bar furniture,435.0,435.0,True,No,51.0,102.0,40.0,0,1,1,1,0.0,208080.0
Bar furniture,1266.0,1385.0,True,No,46.925925925925924,97.57142857142857,52.945945945945944,1,0,0,0,119.0,1.0
Bar furniture,475.0,475.0,True,No,40.0,97.57142857142857,40.0,0,1,0,1,0.0,1600.0
Bar furniture,40.0,40.0,True,No,46.925925925925924,97.57142857142857,52.945945945945944,0,0,0,0,0.0,1.0
Bar furniture,395.0,395.0,True,Yes,48.0,100.0,42.0,0,1,1,1,0.0,201600.0
Bar furniture,275.0,275.0,False,No,47.0,101.0,40.0,0,1,1,1,0.0,189880.0
Bar furniture,1385.0,1385.0,True,No,46.925925925925924,104.0,74.0,0,1,1,0,0.0,7696.0
Bar furniture,2375.0,2375.0,True,No,46.925925925925924,97.57142857142857,52.945945945945944,0,0,0,0,0.0,1.0
Bar furniture,2176.0,2375.0,True,No,46.925925925925924,97.57142857142857,52.945945945945944,1,0,0,0,199.0,1.0
Bar furniture,745.0,745.0,True,No,50.0,90.0,48.0,0,1,1,1,0.0,216000.0
Bar furniture,1385.0,1385.0,True,No,46.925925925925924,104.0,74.0,0,1,1,0,0.0,7696.0
Bar furniture,1266.0,1385.0,True,No,46.925925925925924,97.57142857142857,52.945945945945944,1,0,0,0,119.0,1.0
Bar furniture,550.0,550.0,True,No,46.925925925925924,105.0,52.945945945945944,0,0,1,0,0.0,105.0
Bar furniture,445.0,445.0,True,Yes,52.0,100.0,50.0,0,1,1,1,0.0,260000.0
Bar furniture,1266.0,1385.0,True,No,46.925925925925924,97.57142857142857,52.945945945945944,1,0,0,0,119.0,1.0
Bar furniture,175.0,175.0,True,No,44.0,63.0,44.0,0,1,1,1,0.0,121968.0
Beds,395.0,445.0,True,No,81.73493975903614,82.84713375796179,85.0,1,1,0,0,50.0,85.0
Beds,895.0,925.0,True,No,54.0,110.0,96.0,1,1,1,1,30.0,570240.0
Beds,595.0,595.0,True,No,81.73493975903614,79.0,66.0,0,1,1,0,0.0,5214.0
Beds,2111.0,2205.0,True,No,40.0,43.0,140.0,1,1,1,1,94.0,240800.0
Beds,995.0,995.0,True,No,83.0,86.0,92.0,0,1,1,1,0.0,656696.0
Beds,540.0,540.0,False,No,81.73493975903614,82.84713375796179,91.0,0,1,0,0,0.0,91.0
Beds,795.0,795.0,True,Yes,81.73493975903614,111.0,146.0,0,1,1,0,0.0,16206.0
Beds,99.0,99.0,True,No,81.73493975903614,82.84713375796179,94.0,0,1,0,0,0.0,94.0
Beds,1195.0,1195.0,True,Yes,81.73493975903614,82.84713375796179,188.0,0,1,0,0,0.0,188.0
Beds,199.0,199.0,True,No,81.73493975903614,82.84713375796179,144.0,0,1,0,0,0.0,144.0
Beds,675.0,895.0,True,Yes,81.73493975903614,82.84713375796179,154.0,1,1,0,0,220.0,154.0
Beds,595.0,595.0,True,Yes,81.73493975903614,82.84713375796179,144.0,0,1,0,0,0.0,144.0
Beds,199.0,199.0,True,No,81.73493975903614,82.84713375796179,94.0,0,1,0,0,0.0,94.0
Beds,545.0,545.0,True,Yes,81.73493975903614,140.0,148.0,0,1,1,0,0.0,20720.0
Beds,575.0,575.0,True,No,54.0,47.0,96.0,0,1,1,1,0.0,243648.0
Beds,445.0,445.0,True,Yes,81.73493975903614,82.84713375796179,147.0,0,1,0,0,0.0,147.0
Beds,525.0,525.0,True,Yes,81.73493975903614,82.84713375796179,165.0,0,1,0,0,0.0,165.0
Beds,495.0,495.0,True,Yes,81.73493975903614,82.84713375796179,156.0,0,1,0,0,0.0,156.0
Beds,445.0,445.0,True,No,81.73493975903614,80.0,97.0,0,1,1,0,0.0,7760.0
Beds,395.0,395.0,True,Yes,81.73493975903614,82.84713375796179,153.0,0,1,0,0,0.0,153.0
Beds,920.0,920.0,True,Yes,59.0,15.0,196.0,0,1,1,1,0.0,173460.0
Beds,195.0,195.0,True,No,81.73493975903614,82.84713375796179,77.0,0,1,0,0,0.0,77.0
Beds,1729.0,2435.0,True,Yes,81.73493975903614,120.0,140.0,1,1,1,0,706.0,16800.0
Beds,575.0,575.0,True,Yes,54.0,20.0,146.0,0,1,1,1,0.0,157680.0
Beds,1495.0,1495.0,True,No,70.0,18.0,89.0,0,1,1,1,0.0,112140.0
Beds,595.0,595.0,True,Yes,81.73493975903614,95.0,146.0,0,1,1,0,0.0,13870.0
Beds,1395.0,1395.0,True,Yes,81.73493975903614,82.84713375796179,147.0,0,1,0,0,0.0,147.0
Beds,670.0,670.0,True,Yes,59.0,15.0,105.0,0,1,1,1,0.0,92925.0
Beds,445.0,445.0,True,Yes,81.73493975903614,82.84713375796179,105.0,0,1,0,0,0.0,105.0
Beds,995.0,995.0,True,No,57.0,82.84713375796179,96.0,0,1,0,1,0.0,5472.0
Beds,100.0,125.0,True,No,81.73493975903614,120.0,40.0,1,1,1,0,25.0,4800.0
Beds,360.0,360.0,True,No,81.73493975903614,82.84713375796179,75.0,0,1,0,0,0.0,75.0
Beds,1375.0,1595.0,True,Yes,81.73493975903614,82.84713375796179,154.0,1,1,0,0,220.0,154.0
Beds,2600.5,2880.0,True,No,40.0,43.0,143.0,1,1,1,1,279.5,245960.0
Beds,745.0,745.0,True,Yes,81.73493975903614,120.0,98.0,0,1,1,0,0.0,11760.0
Beds,295.0,295.0,True,No,81.73493975903614,34.0,80.0,0,1,1,0,0.0,2720.0
Beds,399.0,399.0,True,No,81.73493975903614,82.84713375796179,144.0,0,1,0,0,0.0,144.0
Beds,395.0,395.0,True,No,81.73493975903614,82.84713375796179,85.0,0,1,0,0,0.0,85.0
Beds,375.0,375.0,True,No,81.73493975903614,82.84713375796179,96.0,0,1,0,0,0.0,96.0
Beds,399.0,399.0,True,No,85.0,78.0,128.0,0,1,1,1,0.0,848640.0
Beds,2040.0,2040.0,True,Yes,81.73493975903614,42.0,160.0,0,1,1,0,0.0,6720.0
Beds,425.0,425.0,True,No,81.73493975903614,82.84713375796179,62.0,0,1,0,0,0.0,62.0
Beds,2290.0,2290.0,True,Yes,51.0,16.0,240.0,0,1,1,1,0.0,195840.0
Beds,549.0,549.0,True,No,81.73493975903614,94.0,88.0,0,1,1,0,0.0,8272.0
Beds,570.0,570.0,True,Yes,64.0,14.0,153.0,0,1,1,1,0.0,137088.0
Beds,945.0,945.0,True,Yes,59.0,82.84713375796179,156.0,0,1,0,1,0.0,9204.0
Beds,895.0,895.0,True,No,81.73493975903614,157.0,97.0,0,1,1,0,0.0,15229.0
Beds,475.0,475.0,True,No,81.73493975903614,130.0,96.0,0,1,1,0,0.0,12480.0
Beds,1745.0,1745.0,True,Yes,81.73493975903614,90.0,140.0,0,1,1,0,0.0,12600.0
Beds,100.0,100.0,True,No,55.0,21.0,92.0,0,1,1,1,0.0,106260.0
Beds,871.0,940.0,True,Yes,81.73493975903614,82.84713375796179,148.0,1,1,0,0,69.0,148.0
Beds,695.0,695.0,True,Yes,81.73493975903614,82.84713375796179,104.0,0,1,0,0,0.0,104.0
Beds,995.0,995.0,True,Yes,81.73493975903614,82.84713375796179,104.0,0,1,0,0,0.0,104.0
Beds,795.0,795.0,True,No,81.73493975903614,82.84713375796179,90.0,0,1,0,0,0.0,90.0
Beds,480.0,800.0,True,No,81.73493975903614,20.0,80.0,1,1,1,0,320.0,1600.0
Beds,1640.0,1640.0,True,Yes,81.73493975903614,82.84713375796179,154.0,0,1,0,0,0.0,154.0
Beds,695.0,695.0,True,No,81.73493975903614,2.0,83.0,0,1,1,0,0.0,166.0
Beds,49.0,49.0,True,No,81.73493975903614,82.84713375796179,141.9837837837838,0,0,0,0,0.0,1.0
Beds,745.0,745.0,True,No,81.73493975903614,116.0,99.0,0,1,1,0,0.0,11484.0
Beds,1846.0,1995.0,True,Yes,151.0,66.0,141.9837837837838,1,0,1,1,149.0,9966.0
Beds,295.0,295.0,True,No,81.73493975903614,20.0,90.0,0,1,1,0,0.0,1800.0
Beds,100.0,100.0,True,Yes,81.73493975903614,4.0,80.0,0,1,1,0,0.0,320.0
Beds,295.0,295.0,True,No,81.73493975903614,80.0,66.0,0,1,1,0,0.0,5280.0
Beds,1145.0,1145.0,True,Yes,81.73493975903614,82.84713375796179,104.0,0,1,0,0,0.0,104.0
Beds,1495.0,1495.0,True,No,70.0,18.0,89.0,0,1,1,1,0.0,112140.0
Beds,545.0,545.0,True,Yes,81.73493975903614,82.84713375796179,105.0,0,1,0,0,0.0,105.0
Beds,620.0,620.0,True,No,57.0,45.0,95.0,0,1,1,1,0.0,243675.0
Beds,2195.0,2195.0,True,No,81.73493975903614,99.0,164.0,0,1,1,0,0.0,16236.0
Beds,1725.0,1725.0,True,No,81.73493975903614,182.0,141.9837837837838,0,0,1,0,0.0,182.0
